Date,Fiscal Quarter,IQ_NI_CF,IQ_TOTAL_REV,IQ_AR,IQ_GP ,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_AP,IQ_LT_DEBT,IQ_ST_DEBT,IQ_ST_DEBT_REPAID,IQ_LT_DEBT_REPAID,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_NET_CHANGE,IQ_PERIODDATE_BS,IQ_FULL_TIME,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,IQ_CASH_OPER,IQ_TOTAL_DIV_PAID_CF,IQ_CASH_FINAN,IQ_CAPITAL_LEASES,IQ_INVEST_SECURITY_CF,IQ_NI,CQID 
2020-12-31,FQ42020,36.0,13858.0,8822.0,10448.0,24173.0,150565.0,2276.0,77553.0,34.0,0.0,0.0,28661.0,137468.0,87097.0,559.0,44196,47000,13097.0,8449.0,4854.0,-2101.0,-3695.0,853.0,47.0,36.0,IQ141885706
2010-12-31,FQ12011,60.868,335.12,200.905,148.53799999999998,820.6030000000001,1614.076,120.535,25.070999999999998,0.0,-50.0,0.0,157.066,202.669,25.070999999999998,-3.2030000000000003,40543,0,1411.4070000000002,450.05400000000003,64.822,0.0,-31.055,0.0,0.0,60.868,IQ1462309
2011-04-01,FQ22011,49.96,325.411,183.352,140.981,872.444,1678.797,111.949,0.0,25.405,0.0,0.0,176.44400000000002,202.405,25.405,53.747,40634,0,1476.392,503.801,92.223,0.0,-5.71,0.0,0.0,49.96,IQ1462309
2011-07-01,FQ32011,51.548,356.075,186.12900000000002,156.225,712.133,1805.599,116.648,0.0,0.0,0.0,0.0,244.34900000000002,273.425,25.744,-194.15599999999998,40725,0,1532.174,309.645,85.97399999999999,0.0,-14.665999999999999,0.0,0.0,51.548,IQ1462309
2011-09-30,FQ42011,64.209,402.316,177.94,174.56,816.334,1890.389,115.29,0.0,0.0,0.0,0.0,247.09599999999998,281.29400000000004,26.089000000000002,100.44200000000001,40816,4400,1609.095,410.087,122.79899999999999,0.0,-7.6129999999999995,0.0,0.0,64.209,IQ1462309
2011-12-30,FQ12012,57.126000000000005,393.74,199.01,171.85,856.342,1914.6329999999998,96.03,0.0,0.0,0.0,-14.925999999999998,212.502,250.968,17.123,35.549,40907,0,1663.665,445.63599999999997,77.232,0.0,-35.259,0.0,0.0,57.126000000000005,IQ1462309
2012-03-30,FQ22012,34.074,364.7,211.488,152.3,752.332,2007.326,136.67700000000002,0.0,0.0,0.0,0.0,242.642,287.082,0.0,-138.94899999999998,40998,0,1720.244,306.474,116.96799999999999,0.0,-21.441,0.0,20.9,34.0,IQ1462309
2012-06-29,FQ32012,49.3,389.0,246.894,165.3,829.49,2089.893,135.597,0.0,0.0,0.0,0.0,239.571,288.228,0.0,20.5,41089,0,1801.665,327.098,40.7,0.0,11.0,0.0,0.0,49.3,IQ1462309
2012-09-28,FQ42012,61.5,421.1,297.6,177.7,883.3,2136.6,140.6,0.0,0.0,0.0,0.0,182.7,231.1,0.0,-20.8,41180,4700,1905.5,307.1,50.3,0.0,-40.4,0.0,0.0,61.5,IQ1462309
2012-12-28,FQ12013,66.5,453.7,252.149,192.6,899.553,2151.107,111.36200000000001,0.0,0.0,0.0,0.0,155.688,207.138,0.0,71.2,41271,0,1943.969,377.538,147.6,0.0,-50.8,0.0,0.8,66.5,IQ1462309
2013-03-29,FQ22013,61.7,425.2,234.6,176.7,963.7,2216.9,111.5,0.0,0.0,0.0,0.0,162.6,216.9,0.0,80.5,41362,0,2000.0,458.8,130.3,0.0,-24.2,0.0,0.0,61.7,IQ1462309
2013-06-28,FQ32013,65.7,436.1,283.9,188.2,959.6,2217.9,115.2,0.0,0.0,0.0,0.0,159.0,217.8,0.0,-58.5,41453,0,2000.1,400.3,64.3,0.0,-89.4,0.0,0.0,65.7,IQ1462309
2013-09-27,FQ42013,84.2,477.0,292.7,209.1,1073.3,2333.1,126.5,0.0,0.0,0.0,0.0,179.7,232.0,0.0,110.8,41544,4750,2101.1,511.1,157.5,0.0,-8.3,0.0,0.0,84.2,IQ1462309
2013-12-27,FQ12014,94.5,505.2,267.1,222.0,1180.1,2435.4,107.3,0.0,0.0,0.0,0.0,165.8,223.2,0.0,137.5,41635,0,2212.2,648.6,158.8,0.0,-5.0,0.0,0.0,94.5,IQ1462309
2014-03-28,FQ22014,76.9,481.0,216.3,212.4,1268.9,2534.6,125.8,0.0,0.0,0.0,0.0,182.8,243.2,0.0,149.2,41726,0,2291.4,797.8,214.2,0.0,-23.1,0.0,0.0,76.9,IQ1462309
2014-06-27,FQ32014,111.4,587.0,251.4,264.2,1387.3,2688.9,164.0,0.0,0.0,0.0,0.0,234.8,299.9,0.0,95.5,41817,0,2389.0,893.3,199.0,-20.9,-36.0,0.0,0.0,111.4,IQ1462309
2014-10-03,FQ42014,174.9,718.3,317.6,324.1,1429.2,2973.8,200.6,0.0,0.0,0.0,0.0,297.6,441.4,0.0,-87.5,41915,5550,2532.4,805.8,200.4,-20.5,-56.5,0.0,0.0,174.9,IQ1462309
2015-01-02,FQ12015,195.2,805.5,242.3,373.0,1590.4,3191.0,211.0,0.0,0.0,0.0,0.0,332.9,480.9,0.0,244.1,42006,0,2710.1,1049.9,383.2,-24.6,-51.9,0.0,0.0,195.2,IQ1462309
2015-04-03,FQ22015,166.5,762.1,277.1,352.2,1678.9,3313.2,231.0,0.0,0.0,0.0,0.0,298.6,449.7,0.0,4.3,42097,0,2863.5,1054.2,155.0,-24.7,-48.6,0.0,0.0,166.5,IQ1462309
